b	e	p	r	l	keff
0	0	0	0	0	0.03894
0	0	0.4	0	0	0.02725
0	0	0.8	0	0	0.02153
0	0	1	0	0	0.01968
0	0	0	0.5	0	0.05237
0	0	0.4	0.5	0	0.03584
0	0	0.8	0.5	0	0.02802
0	0	1	0.5	0	0.02558
0	0	0	1	0	0.09986
0	0	0.4	1	0	0.07652
0	0	0.8	1	0	0.06777
0	0	1	1	0	0.066
0	0	0	0	0.4	0.0497
0	0	0.4	0	0.4	0.03672
0	0	0.8	0	0.4	0.02944
0	0	1	0	0.4	0.02712
0	0	0	0.5	0.4	0.0751
0	0	0.4	0.5	0.4	0.05471
0	0	0.8	0.5	0.4	0.04448
0	0	1	0.5	0.4	0.04062
0	0	0	1	0.4	0.18625
0	0	0.4	1	0.4	0.14866
0	0	0.8	1	0.4	0.13364
0	0	1	1	0.4	0.12923
0	0	0	0	1	0.053
0	0	0.4	0	1	0.04054
0	0	0.8	0	1	0.03325
0	0	1	0	1	0.03062
0	0	0	0.5	1	0.08275
0	0	0.4	0.5	1	0.06381
0	0	0.8	0.5	1	0.05326
0	0	1	0.5	1	0.0501
0	0	0	1	1	0.23177
0	0	0.4	1	1	0.20088
0	0	0.8	1	1	0.18671
0	0	1	1	1	0.18427
0.5	0	0	0	0	0.04546
0.5	0	0.4	0	0	0.04535
0.5	0	0.8	0	0	0.04954
0.5	0	1	0	0	0.05239
0.5	0	0	0.5	0	0.08085
0.5	0	0.4	0.5	0	0.09367
0.5	0	0.8	0.5	0	0.10633
0.5	0	1	0.5	0	0.10877
0.5	0	0	1	0	0.26059
0.5	0	0.4	1	0	0.30657
0.5	0	0.8	1	0	0.315
0.5	0	1	1	0	0.31031
0.5	0	0	0	0.4	0.05747
0.5	0	0.4	0	0.4	0.06315
0.5	0	0.8	0	0.4	0.07449
0.5	0	1	0	0.4	0.07967
0.5	0	0	0.5	0.4	0.10984
0.5	0	0.4	0.5	0.4	0.14468
0.5	0	0.8	0.5	0.4	0.17089
0.5	0	1	0.5	0.4	0.1798
0.5	0	0	1	0.4	0.38794
0.5	0	0.4	1	0.4	0.49445
0.5	0	0.8	1	0.4	0.52499
0.5	0	1	1	0.4	0.52513
0.5	0	0	0	1	0.06034
0.5	0	0.4	0	1	0.06886
0.5	0	0.8	0	1	0.08231
0.5	0	1	0	1	0.08874
0.5	0	0	0.5	1	0.12009
0.5	0	0.4	0.5	1	0.16324
0.5	0	0.8	0.5	1	0.19741
0.5	0	1	0.5	1	0.20872
0.5	0	0	1	1	0.44295
0.5	0	0.4	1	1	0.57469
0.5	0	0.8	1	1	0.62149
0.5	0	1	1	1	0.62714
1	0	0	0	0	0.06262
1	0	0.4	0	0	0.08917
1	0	0.8	0	0	0.10721
1	0	1	0	0	0.1132
1	0	0	0.5	0	0.12923
1	0	0.4	0.5	0	0.184
1	0	0.8	0.5	0	0.2044
1	0	1	0.5	0	0.20717
1	0	0	1	0	0.39835
1	0	0.4	1	0	0.46893
1	0	0.8	1	0	0.45961
1	0	1	1	0	0.44106
1	0	0	0	0.4	0.07707
1	0	0.4	0	0.4	0.11955
1	0	0.8	0	0.4	0.14998
1	0	1	0	0.4	0.16011
1	0	0	0.5	0.4	0.16938
1	0	0.4	0.5	0.4	0.25887
1	0	0.8	0.5	0.4	0.29792
1	0	1	0.5	0.4	0.30167
1	0	0	1	0.4	0.55407
1	0	0.4	1	0.4	0.68479
1	0	0.8	1	0.4	0.68154
1	0	1	1	0.4	0.66161
1	0	0	0	1	0.0809
1	0	0.4	0	1	0.12749
1	0	0.8	0	1	0.16301
1	0	1	0	1	0.1746
1	0	0	0.5	1	0.18244
1	0	0.4	0.5	1	0.2816
1	0	0.8	0.5	1	0.3247
1	0	1	0.5	1	0.33454
1	0	0	1	1	0.60954
1	0	0.4	1	1	0.75727
1	0	0.8	1	1	0.75581
1	0	1	1	1	0.73392
0	0.5	0	0	0	0.04227
0	0.5	0.4	0	0	0.0297
0	0.5	0.8	0	0	0.02337
0	0.5	1	0	0	0.02135
0	0.5	0	0.5	0	0.0582
0	0.5	0.4	0.5	0	0.03942
0	0.5	0.8	0.5	0	0.0312
0	0.5	1	0.5	0	0.0286
0	0.5	0	1	0	0.11529
0	0.5	0.4	1	0	0.08877
0	0.5	0.8	1	0	0.08028
0	0.5	1	1	0	0.07889
0	0.5	0	0	0.4	0.05442
0	0.5	0.4	0	0.4	0.04042
0	0.5	0.8	0	0.4	0.03263
0	0.5	1	0	0.4	0.03003
0	0.5	0	0.5	0.4	0.08368
0	0.5	0.4	0.5	0.4	0.0616
0	0.5	0.8	0.5	0.4	0.05007
0	0.5	1	0.5	0.4	0.04651
0	0.5	0	1	0.4	0.21608
0	0.5	0.4	1	0.4	0.17175
0	0.5	0.8	1	0.4	0.15506
0	0.5	1	1	0.4	0.15136
0	0.5	0	0	1	0.05812
0	0.5	0.4	0	1	0.04441
0	0.5	0.8	0	1	0.03659
0	0.5	1	0	1	0.03425
0	0.5	0	0.5	1	0.09308
0	0.5	0.4	0.5	1	0.07232
0	0.5	0.8	0.5	1	0.06102
0	0.5	1	0.5	1	0.05771
0	0.5	0	1	1	0.26845
0	0.5	0.4	1	1	0.23017
0	0.5	0.8	1	1	0.21647
0	0.5	1	1	1	0.21268
0.5	0.5	0	0	0	0.05171
0.5	0.5	0.4	0	0	0.05403
0.5	0.5	0.8	0	0	0.06166
0.5	0.5	1	0	0	0.06509
0.5	0.5	0	0.5	0	0.09391
0.5	0.5	0.4	0.5	0	0.11407
0.5	0.5	0.8	0.5	0	0.13217
0.5	0.5	1	0.5	0	0.13828
0.5	0.5	0	1	0	0.29844
0.5	0.5	0.4	1	0	0.35741
0.5	0.5	0.8	1	0	0.37866
0.5	0.5	1	1	0	0.37785
0.5	0.5	0	0	0.4	0.06564
0.5	0.5	0.4	0	0.4	0.07562
0.5	0.5	0.8	0	0.4	0.09171
0.5	0.5	1	0	0.4	0.1002
0.5	0.5	0	0.5	0.4	0.12901
0.5	0.5	0.4	0.5	0.4	0.17204
0.5	0.5	0.8	0.5	0.4	0.21027
0.5	0.5	1	0.5	0.4	0.22305
0.5	0.5	0	1	0.4	0.43731
0.5	0.5	0.4	1	0.4	0.56293
0.5	0.5	0.8	1	0.4	0.61175
0.5	0.5	1	1	0.4	0.6181
0.5	0.5	0	0	1	0.06924
0.5	0.5	0.4	0	1	0.08332
0.5	0.5	0.8	0	1	0.10301
0.5	0.5	1	0	1	0.11268
0.5	0.5	0	0.5	1	0.14076
0.5	0.5	0.4	0.5	1	0.19547
0.5	0.5	0.8	0.5	1	0.24107
0.5	0.5	1	0.5	1	0.25901
0.5	0.5	0	1	1	0.49828
0.5	0.5	0.4	1	1	0.65162
0.5	0.5	0.8	1	1	0.7206
0.5	0.5	1	1	1	0.73327
1	0.5	0	0	0	0.07372
1	0.5	0.4	0	0	0.11067
1	0.5	0.8	0	0	0.13712
1	0.5	1	0	0	0.14714
1	0.5	0	0.5	0	0.15356
1	0.5	0.4	0.5	0	0.22536
1	0.5	0.8	0.5	0	0.25605
1	0.5	1	0.5	0	0.26211
1	0.5	0	1	0	0.45219
1	0.5	0.4	1	0	0.55012
1	0.5	0.8	1	0	0.55197
1	0.5	1	1	0	0.53747
1	0.5	0	0	0.4	0.09172
1	0.5	0.4	0	0.4	0.14723
1	0.5	0.8	0	0.4	0.19117
1	0.5	1	0	0.4	0.20714
1	0.5	0	0.5	0.4	0.20051
1	0.5	0.4	0.5	0.4	0.31557
1	0.5	0.8	0.5	0.4	0.36832
1	0.5	1	0.5	0.4	0.38008
1	0.5	0	1	0.4	0.62112
1	0.5	0.4	1	0.4	0.78689
1	0.5	0.8	1	0.4	0.80479
1	0.5	1	1	0.4	0.7927
1	0.5	0	0	1	0.09586
1	0.5	0.4	0	1	0.15882
1	0.5	0.8	0	1	0.20564
1	0.5	1	0	1	0.22276
1	0.5	0	0.5	1	0.21535
1	0.5	0.4	0.5	1	0.34104
1	0.5	0.8	0.5	1	0.40084
1	0.5	1	0.5	1	0.41585
1	0.5	0	1	1	0.6787
1	0.5	0.4	1	1	0.86652
1	0.5	0.8	1	1	0.89386
1	0.5	1	1	1	0.88113
0	1	0	0	0	0.04553
